Bulk mode; whois.cymru.com [2026-09-05 12:46:02 +0000]
8075    | 104.209.144.180  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.144.31   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.146.115  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.146.49   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.147.118  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.147.122  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.149.192  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.156.127  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.156.132  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.169.3    | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.171.216  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.171.255  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.173.246  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.174.67   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.208.74   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.212.149  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.212.193  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.212.234  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.212.68   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.212.95   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.1    | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.106  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.108  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.115  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.125  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.126  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.128  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.16   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.214.219  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.215.186  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.217.110  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.218.125  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.218.158  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.218.193  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.218.21   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.218.34   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.219.107  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.219.232  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.219.241  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.219.71   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.219.73   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.50.214   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.50.241   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.54.47    | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.40.1.10      | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.113.171   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.113.176   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.113.203   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.118.108   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.146.207   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.146.47    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.146.85    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.155.11    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.155.181   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.155.223   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.155.230   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.169.165   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.173.47    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.175.20    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.180.102   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.180.157   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.180.161   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.180.220   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.181.5     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.32.238    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.32.243    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.33.41     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.46.135    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.46.146    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.47.153    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.50.228    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.50.35     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.51.15     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.51.31     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.56.119    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.56.97     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
