alias,timestamp,ip,clicks,title,url,shorturl,wayback_capture,source_capture_file
testivyz4,2026-06-01 14:29:34,20.125.17.166,1,https://api.datausa.io/tesseract/data.jsonrecords?cube%3Dipeds_tuition%26drilldowns%3DYear,https://api.datausa.io/tesseract/data.jsonrecords?cube%3Dipeds_tuition%26drilldowns%3DYear,https://bitily.in/MYLABI/testivyz4,20120106024633,bitily_admin_index.html
pq2,2026-06-01 14:29:54,20.94.90.111,0,Example Domain,https://example.org/mynewunique123,https://bitily.in/MYLABI/pq2,20120106024633,bitily_admin_index.html
xag0y40693954,2026-06-01 14:30:03,20.228.114.131,0,Example Domain,https://example.org/xag0y40693954,https://bitily.in/MYLABI/xag0y40693954,20120106024633,bitily_admin_index.html
pq3,2026-06-01 14:30:04,20.59.22.179,0,https://markdown.new/example.com?zmine1,https://markdown.new/example.com?zmine1,https://bitily.in/MYLABI/pq3,20120106024633,bitily_admin_index.html
clarksixpdf60091,2026-06-01 14:30:06,20.55.246.71,3,https://pure.md/web.archive.org/web/20101228090948id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf,https://pure.md/web.archive.org/web/20101228090948id_/www.clarku.edu/departments/economics/pdf/newsletter%25202010color.pdf,https://bitily.in/MYLABI/clarksixpdf60091,20120106024633,bitily_admin_index.html
ag0ourgview56c,2026-06-01 14:30:11,52.237.167.123,0,Clark Economics Newsletter Evidence ag0ourgview56c,https://docs.google.com/gview?embedded=1%26url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20130525012744id_%2Fhttp%3A%2F%2Fwww.clarku.edu%3A80%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter%2525202010color.pdf#a56c,https://bitily.in/MYLABI/ag0ourgview56c,20120106024633,bitily_admin_index.html
ag0finaln8,2026-06-01 14:30:20,20.125.60.124,0,Clark Economics newsletter No 8 fields text,https://pure.md/web.archive.org/web/20130531003440id_/http://www2.clarku.edu/departments/economics/pdf/newsletter2012.pdf,https://bitily.in/MYLABI/ag0finaln8,20120106024633,bitily_admin_index.html
ourbest56again876,2026-06-01 14:30:22,23.101.117.229,0,https://allorigins.hexlet.app/get?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20130525012744id_%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter%2525202010color.pdf,https://allorigins.hexlet.app/get?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20130525012744id_%2Fwww.clarku.edu%2Fdepartments%2Feconomics%2Fpdf%2Fnewsletter%2525202010color.pdf,https://bitily.in/MYLABI/ourbest56again876,20120106024633,bitily_admin_index.html
pq4,2026-06-01 14:30:23,20.29.66.254,0,https://markdown.new/web.archive.org/web/20130531003440id_/clarku.edu/departments/economics/pdf/newsletter2012.pdf?zmine123,https://markdown.new/web.archive.org/web/20130531003440id_/clarku.edu/departments/economics/pdf/newsletter2012.pdf?zmine123,https://bitily.in/MYLABI/pq4,20120106024633,bitily_admin_index.html
ag0finaln56,2026-06-01 14:30:29,20.97.222.211,0,Clark Economics Newsletter No 5 6 teaching fields,https://pure.md/web.archive.org/web/20120106024633id_/http://www2.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf,https://bitily.in/MYLABI/ag0finaln56,20120106024633,bitily_admin_index.html
ag889,2026-06-01 14:30:43,20.62.113.54,0,https://example.com/agent887,https://example.com/agent887,https://bitily.in/MYLABI/ag889,20120106024633,bitily_admin_index.html
agent0try,2026-06-01 14:30:44,52.247.31.80,0,https://example.com/TESTABC1780324229.2801218,https://example.com/TESTABC1780324229.2801218,https://bitily.in/MYLABI/agent0try,20120106024633,bitily_admin_index.html
agy519540,2026-06-01 14:31:01,20.165.254.126,0,Example Domain,https://example.org/xy0.522780708382951,https://bitily.in/MYLABI/agy519540,20120106024633,bitily_admin_index.html
ag0090601,2026-06-01 14:31:13,83.222.9.53,0,Example Domain,https://example.org/fooag0.31187549302378426,https://bitily.in/MYLABI/ag0090601,20120106024633,bitily_admin_index.html
clarkmementohub56,2026-06-01 14:32:03,4.154.176.155,0,ClarkEconMementoHubFiveSix,https://httpbin.org/base64/PGh0bWw-PHRpdGxlPkNsYXJrRWNvbk1lbWVudG9IdWJGaXZlU2l4PC90aXRsZT48YSBocmVmPSJodHRwczovL21lbWdhdG9yLmNzLm9kdS5lZHUvbWVtZW50by9wcm94eS8yMDEyL3d3dy5jbGFya3UuZWR1L2RlcGFydG1lbnRzL2Vjb25vbWljcy9wZGYvbmV3c2xldHRlciUyMDIwMTBjb2xvci5wZGYiPkNsYXJrIEVjb24gTmV3c2xldHRlciA1IDYgUERGPC9hPjwvaHRtbD4,https://bitily.in/MYLABI/clarkmementohub56,20120106024633,bitily_admin_index.html
