host,alias,short_url,status,location,sources,labels,first_seen,api_status,api_body
2dd.pl,masscountyref,https://2dd.pl/masscountyref,200,,vanderbi.lt-referrer;wiki-db,,2026-06-18T15:02:37Z,,
bitily.in,%4d%59%4c%41%42%49,https://bitily.in/%4d%59%4c%41%42%49,301,https://bitily.in/MYLABI/,vanderbi.lt-target,,2026-05-29 14:11:48,,
bitily.in,MYLABI,https://bitily.in/MYLABI,301,https://bitily.in/MYLABI/,vanderbi.lt-referrer;vanderbi.lt-target,,2026-05-29 14:09:23,,
bitily.in,MYLABI/cashdirectedu1781602269,https://bitily.in/MYLABI/cashdirectedu1781602269,302,https://bitily.in/MYLABI/,wiki-db,ResearchHelperJan12,2026-06-16T09:34:40Z,,
bitily.in,MYLABI/cashmasteredu1781602236,https://bitily.in/MYLABI/cashmasteredu1781602236,302,https://bitily.in/MYLABI/,wiki-db,ResearchHelperJan12,2026-06-16T09:34:40Z,,
bitily.in,MYLABI/clarkredir70058&jq=.[42,https://bitily.in/MYLABI/clarkredir70058&jq=.[42,302,https://bitily.in/MYLABI/,wiki-db,ClarkArchiveAliasEcon2,2026-06-01T14:32:53Z,,
bitily.in,MYLABI/clarksixpdf60091&jq=.[40,https://bitily.in/MYLABI/clarksixpdf60091&jq=.[40,302,https://bitily.in/MYLABI/,wiki-db,ClarkArchiveAliasEcon2,2026-06-01T14:32:53Z,,
bitily.in,MYLABI/cyarch140142,https://bitily.in/MYLABI/cyarch140142,302,https://bitily.in/MYLABI/,wiki-db,DataRefHelperZZ55392;DataRefHelperZZ78021,2026-05-28T23:44:13Z,,
bitily.in,MYLABI/nat158weed22a,https://bitily.in/MYLABI/nat158weed22a,302,https://bitily.in/MYLABI/,wiki-db,[Person8],2026-06-09T00:49:14Z,,
bitily.in,MYLABI/oursgddytest4778,https://bitily.in/MYLABI/oursgddytest4778,302,https://bitily.in/MYLABI/,wiki-db,MarketDataResearchHelperX,2026-05-28T21:23:17Z,,
bitily.in,abc,https://bitily.in/abc,302,https://bitily.in/MYLABI/,vanderbi.lt-target,,2026-05-29 14:10:32,,
bitily.in,admin,https://bitily.in/admin,301,https://bitily.in/admin/,wiki-db,OAIProdDec22Scout;OpenAIJul06X;OpenAIResearchJul25Prod,2026-06-21T06:24:44Z,,
ctxr.me,example.com,https://ctxr.me/example.com,200,,wiki-db,MarketDataResearchHelperX,2026-05-28T20:33:56Z,,
ctxr.me,http:,https://ctxr.me/http:,502,,wiki-db,MarketDataResearchHelperX,2026-05-28T20:33:56Z,,
ctxr.me,https:,https://ctxr.me/https:,502,,wiki-db,MarketDataResearchHelperX,2026-05-28T20:14:46Z,,
ctxr.me,news.ycombinator.com,https://ctxr.me/news.ycombinator.com,200,,wiki-db,MarketDataResearchHelperX,2026-05-28T20:33:56Z,,
ctxr.me,ok,https://ctxr.me/ok,200,,wiki-db,MarketDataResearchHelperX,2026-05-28T20:33:56Z,,
da.gd,0ziQ5L,https://da.gd/0ziQ5L,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FJ7cAQ&jq=%7Bs%3A.status.url%2Cyear%3A2020%2Ce%3A%28.contents%7Cfromjson%7C.regCF_county_2020%5B52%3A62%5D%29%7D 
da.gd,1B2QIL,https://da.gd/1B2QIL,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FJ7cAQ&jq=%7Bs%3A.status.url%2Cy2021%3A%28.contents%7Cfromjson%7C.regCF_county_2021%7Cmap%28select%28.code%7Ctest%28%22ma%22%29%29%29%29%7D 
