Bulk mode; whois.cymru.com [2026-09-07 00:42:33 +0000]
8075    | 104.209.145.52   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.169.1    | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.209.173.246  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.212.49   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.108  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.213.110  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.218.188  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.218.193  | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.50.28    | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.210.51.100   | 104.208.0.0/13      | US | arin     | 2014-10-01 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.146.85    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.174.232   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.50.95     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.51.31     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.42.63.162    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.43.129.7     | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.43.244.22    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.195  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.196  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.67   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.185.41   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.132.41     | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.142.218    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.142.223    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.192.170  | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.193.18   | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.31.126   | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.31.136   | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.38.139   | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.41.180   | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.213.16.199   | 130.213.0.0/16      | GB | ripencc  | 1988-10-14 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.213.19.32    | 130.213.0.0/16      | GB | ripencc  | 1988-10-14 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 132.196.56.64    | 132.196.0.0/16      | GB | ripencc  | 1989-03-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 132.196.57.194   | 132.196.0.0/16      | GB | ripencc  | 1989-03-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 132.196.70.200   | 132.196.0.0/16      | GB | ripencc  | 1989-03-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.119.43.12    | 135.119.0.0/16      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.119.45.97    | 135.119.0.0/16      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.119.61.72    | 135.119.0.0/16      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.176.220  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.178.235  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.186.6    | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.194.177  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.202.128  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.202.138  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.225.193  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.226.122  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.226.37   | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.250.37   | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.234.24.250   | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.234.29.190   | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 157.55.197.144   | 157.55.0.0/16       | US | arin     | 1994-04-28 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 157.55.197.149   | 157.55.0.0/16       | US | arin     | 1994-04-28 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 157.55.197.192   | 157.55.0.0/16       | US | arin     | 1994-04-28 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
