alias,timestamp,ip,clicks,title,url,shorturl
jl,2026-05-26 18:01:12,20.253.225.146,19,Example Domain,http://example.org,http://rmn.re/jl
jm,2026-05-26 18:01:15,20.97.58.143,22,Example Domain,https://example.org,http://rmn.re/jm
jn,2026-05-26 18:01:18,74.249.208.103,25,Example Domain,http://example.com,http://rmn.re/jn
jo,2026-05-26 18:02:46,74.249.155.42,26,https://api.beta.ons.gov.uk/v1/datasets,https://api.beta.ons.gov.uk/v1/datasets,http://rmn.re/jo
jp,2026-05-26 18:02:51,20.69.28.13,36,https://api.beta.ons.gov.uk/v1/datasets/TS030,https://api.beta.ons.gov.uk/v1/datasets/TS030,http://rmn.re/jp
jq,2026-05-26 18:02:55,20.168.56.215,26,"https://api.beta.ons.gov.uk/v1/datasets/TS030/editions/2021/versions/3/json?area-type=p19wpc,E14001074","https://api.beta.ons.gov.uk/v1/datasets/TS030/editions/2021/versions/3/json?area-type=p19wpc,E14001074",http://rmn.re/jq
jt,2026-05-27 11:19:17,52.159.111.153,27,Example Domain,https://example.org/x0.4952407062961087,http://rmn.re/jt
ju,2026-05-27 11:19:23,64.236.162.148,25,Example Domain,https://example.org/x0.03417779429188028,http://rmn.re/ju
jv,2026-05-27 11:20:29,172.173.64.145,27,Example Domain,https://example.org/v0.6334237232849889,http://rmn.re/jv
agx982,2026-05-27 11:46:42,104.43.244.22,34,Example Domain,https://example.org/agx982,http://rmn.re/agx982
mailtest1779882809,2026-05-27 11:53:34,172.212.168.200,33,SEC county map data,https://www.sec.gov/files/county.json?mailrefresh=1,http://rmn.re/mailtest1779882809
mailtest1779882833,2026-05-27 11:53:55,172.173.111.134,27,Example Domain,https://example.net/test1779882833,http://rmn.re/mailtest1779882833
mailtest1779882840,2026-05-27 11:54:09,52.234.0.202,25,https://example.net/test1779882840,https://example.net/test1779882840,http://rmn.re/mailtest1779882840
rmnagtest1779899598,2026-05-27 16:33:24,20.230.216.242,30,TEST,https://example.org/rmnagtest1779899598,http://rmn.re/rmnagtest1779899598
agenta78,2026-06-12 19:41:24,172.212.196.138,29,Example Domain,https://example.com,http://rmn.re/agenta78
sv1781293478,2026-06-12 19:44:51,52.159.76.125,27,A78DS,https://www.nationsreportcard.gov/Dataservice/GetAdhocData.aspx?type=data&subject=science&grade=12&subscale=SRPUV&variable=B034602&jurisdiction=NP&stattype=MN:MN&Year=2019,http://rmn.re/sv1781293478
ourt665714,2026-06-12 21:15:03,57.154.38.1,26,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=science&grade=12&subscale=SRPUV&variable=B034602&jurisdiction=NP&stattype=MN:MN&Year=2019,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=science&grade=12&subscale=SRPUV&variable=B034602&jurisdiction=NP&stattype=MN:MN&Year=2019,http://rmn.re/ourt665714
jw,2026-06-12 21:23:32,64.236.154.18,29,https://www.nationsreportcard.gov/Dataservice/GetAdhocData.aspx?type=data&subject=science,https://www.nationsreportcard.gov/Dataservice/GetAdhocData.aspx?type=data&subject=science,http://rmn.re/jw
jx,2026-06-12 21:24:37,135.119.43.12,33,https://www.nationsreportcard.gov/api_documentation.aspx,https://www.nationsreportcard.gov/api_documentation.aspx,http://rmn.re/jx
