popcat_id,n_revs,keyword,target,jd_trailing_count
1,21,oaihhsxlsx2023new9,https://login.max.gov/portal/document/SF133/Budget/attachments/2346466575/2346466741.xlsx,79
2,21,jobnew2018WFsOkipKt3,https://md.succ.ai/job/FsOkipKt,51
3,36,mext10e2074,https://md.succ.ai/https%3A%2F%2Fdata.nysed.gov%2Fenrollment.php%3Fyear%3D2017%26instid%3D800000050976%26gender%255B%255D%3DM%26ethnicity%255B%255D%3DW%26ext%3De2074%23x.json%23y,22
4,16,jsonmd2018W181453,https://md.succ.ai/https://data.nysed.gov/enrollment.php%3Fyear%3D2018%26instid%3D800000050976%26gender%255B%255D%3DM%26ethnicity%255B%255D%3DW%26preweb%3D181453md,30
5,5,mdseedjson2017w514,https://md.succ.ai/?url=https%3A%2F%2Fdata.nysed.gov%2Fenrollment.php%3Fyear%3D2017%26instid%3D800000050976%26gender%5B%5D%3DM%26ethnicity%5B%5D%3DW%26freshweb5147993%3D1,14
6,8,brookwhitedebug,https://markdown.new/x?method=browser&url=https%3A%2F%2Fdata.nysed.gov%2Fcomparison.php%3Ftype%3Denrollment%26comparison%5B%5D%3D800000050976_2019_District%26comparison%5B%5D%3D800000050976_2018_District%26comparison%5B%5D%3D800000050976_2017_District%26gender%5B%5D%3DM%26ethnicity%5B%5D%3DW,26
7,26,oaiengpack7,https://httpbin.org/base64/PGh0bWw-PGhlYWQ-PHRpdGxlPkNCUyBQYWNrIDc8L3RpdGxlPjwvaGVhZD48Ym9keT48aDE-UGFjayA3PC9oMT48cD48YSBocmVmPSJodHRwczovL29wZW5kYXRhLmNicy5ubC9PRGF0YUFwaS9PRGF0YS84Mzc3OUVORy9UeXBlZERhdGFTZXQ_JHNraXA9MzkmJHRvcD0zIj5UeXBlZERhdGFTZXQ_JHNraXA9MzkmJHRvcD0zPC9hPjwvcD4KPHA-PGEgaHJlZj0iaHR0cHM6Ly9vcGVuZGF0YS5jYnMubmwvT0RhdGFBcGkvT0RhdGEvODM3NzlFTkcvVHlwZWREYXRhU2V0PyRza2lwPTQwJiR0b3A9MyI-VHlwZWREYXRhU2V0PyRza2lwPTQwJiR0b3A9MzwvYT48L3A-CjxwPjxhIGhyZWY9Imh0dHBzOi8vb3BlbmRhdGEuY2JzLm5sL09EYXRhQXBpL09EYXRhLzgzNzc5RU5HL1R5cGVkRGF0YVNldD8kc2tpcD00MSYkdG9wPTMiPlR5cGVkRGF0YVNldD8kc2tpcD00MSYkdG9wPTM8L2E-PC9wPgo8cD48YSBocmVmPSJodHRwczovL29wZW5kYXRhLmNicy5ubC9PRGF0YUFwaS9PRGF0YS84Mzc3OUVORy9UeXBlZERhdGFTZXQ_JHNraXA9NDImJHRvcD0zIj5UeXBlZERhdGFTZXQ_JHNraXA9NDImJHRvcD0zPC9hPjwvcD4KPHA-PGEgaHJlZj0iaHR0cHM6Ly9vcGVuZGF0YS5jYnMubmwvT0RhdGFBcGkvT0RhdGEvODM3NzlFTkcvVHlwZWREYXRhU2V0PyRza2lwPTQzJiR0b3A9MyI-VHlwZWREYXRhU2V0PyRza2lwPTQzJiR0b3A9MzwvYT48L3A-CjxwPjxhIGhyZWY9Imh0dHBzOi8vb3BlbmRhdGEuY2JzLm5sL09EYXRhQXBpL09EYXRhLzgzNzc5RU5HL1R5cGVkRGF0YVNldD8kc2tpcD00NCYkdG9wPTMiPlR5cGVkRGF0YVNldD8kc2tpcD00NCYkdG9wPTM8L2E-PC9wPgo8L2JvZHk-PC9odG1sPiAg,31
8,50,oaibridge803,https://httpbin.org/base64/PGh0bWw-PGhlYWQ-PHRpdGxlPkNCUyBza2lwIGxpbmtzIHBhcnQgMzwvdGl0bGU-PC9oZWFkPjxib2R5PjxoMT5DQlMgb2JzZXJ2YXRpb25zIHNraXAgbGlua3MgcGFydCAzIG9mIDExPC9oMT48cD48YSBocmVmPSJodHRwczovL2RhdGFzZXRzLmNicy5ubC9vZGF0YS92MS9DQlMvODM3NzlORUQvT2JzZXJ2YXRpb25zPyR0b3A9NyYkc2tpcD0xMDI5Ij5za2lwMTAyOTwvYT48L3A-PHA-PGEgaHJlZj0iaHR0cHM6Ly9kYXRhc2V0cy5jYnMubmwvb2RhdGEvdjEvQ0JTLzgzNzc5TkVEL09ic2VydmF0aW9ucz8kdG9wPTcmJHNraXA9MTAzNCI-c2tpcDEwMzQ8L2E-PC9wPjxwPjxhIGhyZWY9Imh0dHBzOi8vZGF0YXNldHMuY2JzLm5sL29kYXRhL3YxL0NCUy84Mzc3OU5FRC9PYnNlcnZhdGlvbnM_JHRvcD03JiRza2lwPTEwMzYiPnNraXAxMDM2PC9hPjwvcD48cD48YSBocmVmPSJodHRwczovL2RhdGFzZXRzLmNicy5ubC9vZGF0YS92MS9DQlMvODM3NzlORUQvT2JzZXJ2YXRpb25zPyR0b3A9NyYkc2tpcD0xMDQxIj5za2lwMTA0MTwvYT48L3A-PHA-PGEgaHJlZj0iaHR0cHM6Ly9kYXRhc2V0cy5jYnMubmwvb2RhdGEvdjEvQ0JTLzgzNzc5TkVEL09ic2VydmF0aW9ucz8kdG9wPTcmJHNraXA9MTA0MyI-c2tpcDEwNDM8L2E-PC9wPjxwPjxhIGhyZWY9Imh0dHBzOi8vZGF0YXNldHMuY2JzLm5sL29kYXRhL3YxL0NCUy84Mzc3OU5FRC9PYnNlcnZhdGlvbnM_JHRvcD03JiRza2lwPTEwNTAiPnNraXAxMDUwPC9hPjwvcD48cD48YSBocmVmPSJodHRwczovL2RhdGFzZXRzLmNicy5ubC9vZGF0YS92MS9DQlMvODM3NzlORUQvT2JzZXJ2YXRpb25zPyR0b3A9NyYkc2tpcD0xMDU1Ij5za2lwMTA1NTwvYT48L3A-PHA-PGEgaHJlZj0iaHR0cHM6Ly9kYXRhc2V0cy5jYnMubmwvb2RhdGEvdjEvQ0JTLzgzNzc5TkVEL09ic2VydmF0aW9ucz8kdG9wPTcmJHNraXA9MTA1NyI-c2tpcDEwNTc8L2E-PC9wPjxwPjxhIGhyZWY9Imh0dHBzOi8vZGF0YXNldHMuY2JzLm5sL29kYXRhL3YxL0NCUy84Mzc3OU5FRC9PYnNlcnZhdGlvbnM_JHRvcD03JiRza2lwPTEwNjIiPnNraXAxMDYyPC9hPjwvcD48cD48YSBocmVmPSJodHRwczovL2RhdGFzZXRzLmNicy5ubC9vZGF0YS92MS9DQlMvODM3NzlORUQvT2JzZXJ2YXRpb25zPyR0b3A9NyYkc2tpcD0xMDY0Ij5za2lwMTA2NDwvYT48L3A-PHA-PGEgaHJlZj0iaHR0cHM6Ly9kYXRhc2V0cy5jYnMubmwvb2RhdGEvdjEvQ0JTLzgzNzc5TkVEL09ic2VydmF0aW9ucz8kdG9wPTcmJHNraXA9MTA2OSI-c2tpcDEwNjk8L2E-PC9wPjxwPjxhIGhyZWY9Imh0dHBzOi8vZGF0YXNldHMuY2JzLm5sL29kYXRhL3YxL0NCUy84Mzc3OU5FRC9PYnNlcnZhdGlvbnM_JHRvcD03JiRza2lwPTEwNzEiPnNraXAxMDcxPC9hPjwvcD48cD48YSBocmVmPSJodHRwczovL2RhdGFzZXRzLmNicy5ubC9vZGF0YS92MS9DQlMvODM3NzlORUQvT2JzZXJ2YXRpb25zPyR0b3A9NyYkc2tpcD0xMDc4Ij5za2lwMTA3ODwvYT48L3A-PHA-PGEgaHJlZj0iaHR0cHM6Ly9kYXRhc2V0cy5jYnMubmwvb2RhdGEvdjEvQ0JTLzgzNzc5TkVEL09ic2VydmF0aW9ucz8kdG9wPTcmJHNraXA9MTQ3NSI-c2tpcDE0NzU8L2E-PC9wPjxwPjxhIGhyZWY9Imh0dHBzOi8vZGF0YXNldHMuY2JzLm5sL29kYXRhL3YxL0NCUy84Mzc3OU5FRC9PYnNlcnZhdGlvbnM_JHRvcD03JiRza2lwPTE0NzciPnNraXAxNDc3PC9hPjwvcD48cD48YSBocmVmPSJodHRwczovL2RhdGFzZXRzLmNicy5ubC9vZGF0YS92MS9DQlMvODM3NzlORUQvT2JzZXJ2YXRpb25zPyR0b3A9NyYkc2tpcD0xNDg0Ij5za2lwMTQ4NDwvYT48L3A-PHA-PGEgaHJlZj0iaHR0cHM6Ly9kYXRhc2V0cy5jYnMubmwvb2RhdGEvdjEvQ0JTLzgzNzc5TkVEL09ic2VydmF0aW9ucz8kdG9wPTcmJHNraXA9MTY1NyI-c2tpcDE2NTc8L2E-PC9wPjxwPjxhIGhyZWY9Imh0dHBzOi8vZGF0YXNldHMuY2JzLm5sL29kYXRhL3YxL0NCUy84Mzc3OU5FRC9PYnNlcnZhdGlvbnM_JHRvcD03JiRza2lwPTE2NTkiPnNraXAxNjU5PC9hPjwvcD48L2JvZHk-PC9odG1sPiAg,41
9,43,oaixlsx1,https://veriportali.tuik.gov.tr/api/tr/data/downloads?t=r&p=o%2BWtlwe1D78nd%2FocF6CVyvpgx3DSNpVsEJjGeysdBVgMdQkzRavPFj2twHHFzrZPuOvmj%2FHJGNgffathdx1WWkZDjh0bB%2BX9Py7Bq2GUmvkjfkB3ZxqWS%2FhooJGzuJXD1cXsCRqM8a2orNOrdgP165R5GTPdK5Z%2FxsTIA0RKHCHMTLQmjen6k6UUIBtbqJEbtI3%2BrJ99h2IbUUgpZZYIDVcEPaA%2BIzIbFiK6kpLxbuJcR6KuDpvcDvJBbpgAn5hq,101
10,3,rU6bpYHcv,https://dash.cloudflare.com/?to=/:account/r2/default/buckets/,209
