alias,timestamp,ip,clicks,title,url,shorturl
lirz0,2026-05-12 05:12:19,57.154.36.191,0,https://example.com,https://example.com,http://vanderbi.lt/lirz0
cdearrestxyz123,2026-05-12 05:13:49,172.215.224.201,1,FBI CDE Burglary data,https://api.usa.gov/crime/fbi/cde/arrest/national/60?from=01-2015&to=01-2019&type=counts&API_KEY=DEMO_KEY,http://vanderbi.lt/cdearrestxyz123
cdeburglary2015,2026-05-12 05:13:50,20.9.12.179,0,FBI CDE Burglary data,https://api.usa.gov/crime/fbi/cde/arrest/national/60?from=01-2015&to=01-2019&type=counts&API_KEY=DEMO_KEY,http://vanderbi.lt/cdeburglary2015
zxqtest123,2026-05-12 05:13:52,57.154.37.92,0,FBI CDE Burglary data,https://api.usa.gov/crime/fbi/cde/arrest/national/60?from=01-2015&to=01-2019&type=counts&API_KEY=DEMO_KEY,http://vanderbi.lt/zxqtest123
abcdef1234567890txt,2026-05-12 05:29:12,52.242.217.235,3,https://httpbin.org/base64/YWJjZGVmMTIzNDU2Nzg5MA==,https://httpbin.org/base64/YWJjZGVmMTIzNDU2Nzg5MA==,http://vanderbi.lt/abcdef1234567890txt
aaaaaaaatxt,2026-05-12 05:31:17,20.168.75.99,1,https://httpbin.org/base64/YWFhYWFhYWE=,https://httpbin.org/base64/YWFhYWFhYWE=,http://vanderbi.lt/aaaaaaaatxt
abcdefghtxt,2026-05-12 05:31:27,20.9.41.27,1,https://httpbin.org/base64/YWJjZGVmZ2g=,https://httpbin.org/base64/YWJjZGVmZ2g=,http://vanderbi.lt/abcdefghtxt
indexnowtxt,2026-05-12 05:31:32,52.234.123.82,0,https://httpbin.org/base64/aW5kZXhub3c=,https://httpbin.org/base64/aW5kZXhub3c=,http://vanderbi.lt/indexnowtxt
cdeindexkeytxt,2026-05-12 05:31:37,20.9.90.150,1,https://httpbin.org/base64/Y2RlaW5kZXhrZXk=,https://httpbin.org/base64/Y2RlaW5kZXhrZXk=,http://vanderbi.lt/cdeindexkeytxt
bbbbbbbbbbbbbbbbtxt,2026-05-12 05:31:47,4.255.255.153,1,https://httpbin.org/base64/YmJiYmJiYmJiYmJiYmJiYg==,https://httpbin.org/base64/YmJiYmJiYmJiYmJiYmJiYg==,http://vanderbi.lt/bbbbbbbbbbbbbbbbtxt
burglarycde201501,2026-05-12 05:32:48,20.245.196.229,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/burglarycde201501
arreststatsfbi2019,2026-05-12 05:33:03,20.65.91.115,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/arreststatsfbi2019
fbiarrestnational60,2026-05-12 05:33:28,20.245.206.57,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/fbiarrestnational60
cdedatajan2017,2026-05-12 05:33:38,20.69.36.199,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/cdedatajan2017
testrawref9871,2026-05-12 05:36:21,20.12.225.250,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/testrawref9871
burglaryarrestjan15,2026-05-12 05:37:18,20.94.92.76,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/burglaryarrestjan15
jan2017fbiarrest,2026-05-12 05:37:23,20.80.42.20,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/jan2017fbiarrest
usburglarycounts19,2026-05-12 05:37:29,57.154.24.190,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/usburglarycounts19
statscdeapi60,2026-05-12 05:37:35,20.65.91.251,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/statscdeapi60
readme2html,2026-05-12 05:53:25,4.242.223.181,1,https://httpbin.org/html,https://httpbin.org/html,http://vanderbi.lt/readme2html
