DISTINCT CREATOR IPs BY BUCKET: {'Microsoft/Azure': 4037, 'other': 7, 'Google': 1, 'AWS': 1, 'Cloudflare': 4}
LINKS BY BUCKET: {'Microsoft/Azure': 5553, 'other': 87, 'Cloudflare': 4, 'AWS': 3, 'Google': 23}

per-day (agent window 05-01..07-31), links / distinct-IPs:
date	total	MS	AWS	Google	CF	other	MS_ips	nonMS_ips
2026-05-12	29	29	0	0	0	0	29	0
2026-05-13	9	9	0	0	0	0	9	0
2026-05-17	4	1	0	0	0	3	1	1
2026-05-19	23	23	0	0	0	0	23	0
2026-05-20	2	2	0	0	0	0	2	0
2026-05-24	31	31	0	0	0	0	31	0
2026-05-25	6	6	0	0	0	0	6	0
2026-05-26	154	150	0	0	3	1	149	4
2026-05-27	116	114	0	0	0	2	113	1
2026-05-28	54	54	0	0	0	0	54	0
2026-05-29	2143	2126	0	0	0	17	1895	2
2026-05-30	358	357	0	0	0	1	350	1
2026-05-31	14	14	0	0	0	0	14	0
2026-06-01	2	2	0	0	0	0	2	0
2026-06-05	2	2	0	0	0	0	2	0
2026-06-07	3	3	0	0	0	0	3	0
2026-06-08	9	9	0	0	0	0	9	0
2026-06-09	22	22	0	0	0	0	22	0
2026-06-11	5	5	0	0	0	0	5	0
2026-06-12	2	2	0	0	0	0	2	0
2026-06-16	10	7	3	0	0	0	7	1
2026-06-17	752	752	0	0	0	0	719	0
2026-06-18	1025	1021	0	0	1	3	966	3
2026-06-19	450	450	0	0	0	0	437	0
2026-06-20	136	136	0	0	0	0	136	0
2026-06-21	202	202	0	0	0	0	200	0
2026-06-22	17	17	0	0	0	0	17	0
2026-07-10	4	4	0	0	0	0	4	0
2026-07-13	6	0	0	0	0	6	0	1
2026-07-14	2	0	0	0	0	2	0	1
2026-07-20	3	0	0	0	0	3	0	1
2026-07-21	14	3	0	6	0	5	2	2
2026-07-22	6	0	0	5	0	1	0	2
2026-07-23	11	0	0	8	0	3	0	2
2026-07-24	1	0	0	1	0	0	0	1
2026-07-25	1	0	0	1	0	0	0	1
2026-07-26	1	0	0	1	0	0	0	1
2026-07-27	1	0	0	1	0	0	0	1
2026-07-29	1	0	0	0	0	1	0	1
2026-07-30	1	0	0	0	0	1	0	1
2026-07-31	1	0	0	0	0	1	0	1

hosts in shortener window: 148; NEVER in wiki DB bodies: 89
never-in-wiki hosts: api.dataafrica.io, api.usa.gov, cde.ucr.cjis.gov, dataafrica.io, yourls.pro, railroadtreasures.com, nmdigital.unm.edu, znotexist.xyz, yourls.website, foo.com, itm.ebaydesc.com, howlongtobeat.com, hko.nu, assets.dataforindia.com, martingauer.com, www.citybouldering.co.uk, www.vanderbilt.edu, airtable.com, nmdc.unm.edu, www.yourls.pro, www.yourls.website, api.dataafrica, en.wikipedia.org, www.wikipedia.org, example2.com, api.beta.ons.gov.uk, bing.com, api.ipify.org, nypost.com, technicalowl.herokuapp.com, vanderbilt.edu, www.nomisweb.co.uk, foo.org, api.worldbank.org, api.datawheel.us, news.vanderbilt.edu, www.nationsreportcard.gov, www.mapgenie.io, httpbin.io, dev.oec.world, thisisyonder.com, web-test.archive.org.au, cosmosmagazine.com, econtent.unm.edu, projectparly.co.uk, yourls.biz, pretty-json.vercel.app, api.internetpoverty.io, yourls.space, www.yourls.space, ns3.dnscores.com, 135.148.59.237.nip.io, 146.71.80.19.nip.io, www.bitily.in, api.dataafrica.io.eoncomp.com, ifpri.org, foo.dataafrica.io, foo.bar, www.ifpri.org, dataafrica.info, api.dataafrica.io.evil.org, openai.com, api.dataafrica.io.ezproxy.my, cors-buster.fly.dev, www.dataafrica.io, 3.20.91.120.nip.io, api.datafrica.io, telegra.ph, fbi.gov, www.fbi.gov, examplefoo.com, map.6fast.com, httpbingo.org, httpbun.com, doc-14-bk-apps-viewer.googleusercontent.com, www.census.gov, noroffcors.onrender.com, z.org, dummy2019.org, dummy2020.org, dummy2021.org, www.dataforindia.com, short.kodact.art, kaiemail.xyz, wormhole.app, api-v2.oec.world, liquipedia.net, px.hagstofa.is, apistats-public-prod.azurewebsites.net
