ip16	revisions	first	last	as_candidates
2.202	26	2026-06-02	2026-06-24	AS3209 VODANET - Vodafone GmbH, DE
208.102	26	2026-06-19	2026-06-21	AS6181 FUSE-NET - Cincinnati Bell Telephone Company LLC, US
52.87	14	2026-06-18	2026-06-18	AS14618 AMAZON-AES - Amazon.com, Inc., US
3.23	12	2026-06-20	2026-06-21	AS16509 AMAZON-02 - Amazon.com, Inc., US
3.131	9	2026-06-19	2026-06-19	AS16509 AMAZON-02 - Amazon.com, Inc., US
184.185	8	2026-06-19	2026-06-19	AS22773 ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc., US
184.178	7	2026-06-21	2026-06-21	AS22773 ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc., US
185.220	7	2026-06-18	2026-06-21	AS198418 CELcom - CELCOM SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA, PL ; AS205354 EP-ENTEL-AS - ENERGOPROJEKT ENTEL a.d. BEOGRAD, RS ; AS205390 tectiqom-as - TectiQom Information Technology GmbH, DE ; AS29056 CITYCOM-AS - Citycom Telekommunikation GmbH, AT ; AS56567 NORSITEL-AS - Norsitel GmbH, DE
3.12	6	2026-06-20	2026-06-21	AS16509 AMAZON-02 - Amazon.com, Inc., US
3.129	6	2026-06-20	2026-06-21	AS16509 AMAZON-02 - Amazon.com, Inc., US
18.220	6	2026-06-18	2026-06-19	AS16509 AMAZON-02 - Amazon.com, Inc., US
134.122	6	2026-06-19	2026-06-19	AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US ; AS152194 CTGSERVERLIMITED-AS-AP - CTG Server Limited, HK
209.46	6	2026-06-18	2026-06-18	AS136787 PACKETHUBSA-AS-AP - PacketHub S.A., PA ; AS14205 RPAPSL-14205 - Riviera Park Alameda Padre Serra LLC, US
153.127	5	2026-06-16	2026-06-16	AS24282 KIR - KAGOYA JAPAN Inc., JP ; AS7684 SAKURA-A - SAKURA Internet Inc., JP
