ip	asn	bgp_prefix	cc	registry	allocated	as_org
4.149.121.25	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.149.122.249	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.149.123.32	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.149.123.33	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.149.125.64	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.149.127.20	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.149.127.80	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.149.127.84	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.8.155	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.10.145	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.10.235	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.11.82	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.11.89	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.11.96	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.11.230	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.12.20	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.13.104	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.13.117	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.13.170	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.13.194	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.14.82	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.14.106	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.14.242	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.15.25	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.150.15.64	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.121.63	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.122.2	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.122.33	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.123.225	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.124.145	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.125.34	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.126.113	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.126.130	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.126.135	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.127.138	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.153.54	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.154.237	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.155.93	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.155.229	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.156.110	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.156.132	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.158.125	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.158.126	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.158.157	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.160.42	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.162.187	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.163.12	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.163.226	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.165.70	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.165.193	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.166.16	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.166.26	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.166.112	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.166.230	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.167.179	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.185.241	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.185.255	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.188.140	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.188.141	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.189.143	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.189.225	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.200.110	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.151.202.218	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
