ts,ip,alias,url,decoded,enc,clicks
2026-05-12 05:29:12,52.242.217.235,abcdef1234567890txt,https://httpbin.org/base64/YWJjZGVmMTIzNDU2Nzg5MA==,abcdef1234567890,b64,3
2026-05-12 05:31:17,20.168.75.99,aaaaaaaatxt,https://httpbin.org/base64/YWFhYWFhYWE=,aaaaaaaa,b64,1
2026-05-12 05:31:27,20.9.41.27,abcdefghtxt,https://httpbin.org/base64/YWJjZGVmZ2g=,abcdefgh,b64,1
2026-05-12 05:31:32,52.234.123.82,indexnowtxt,https://httpbin.org/base64/aW5kZXhub3c=,indexnow,b64,0
2026-05-12 05:31:37,20.9.90.150,cdeindexkeytxt,https://httpbin.org/base64/Y2RlaW5kZXhrZXk=,cdeindexkey,b64,1
2026-05-12 05:31:47,4.255.255.153,bbbbbbbbbbbbbbbbtxt,https://httpbin.org/base64/YmJiYmJiYmJiYmJiYmJiYg==,bbbbbbbbbbbbbbbb,b64,1
2026-05-13 08:13:42,135.234.27.233,keytesting123txt,https://httpbin.org/base64/aGVsbG8=,hello,b64,1
2026-05-13 08:13:50,104.209.147.118,keytesting124,https://httpbin.org/base64/aGVsbG8=,hello,b64,1
2026-05-13 08:13:54,172.173.122.242,keytesting125txt,https://httpbin.org/base64/aGVsbG8=,hello,b64,1
2026-05-13 08:14:01,20.65.251.0,keytesthtml,https://httpbin.org/base64/aGVsbG8=,hello,b64,1
2026-05-13 08:14:18,20.169.43.66,abcdef,https://httpbin.org/base64/aGVsbG8=,hello,b64,1
2026-05-13 08:15:05,135.234.29.190,ikiylnwmpx,https://httpbin.org/base64/NW9pYTliMXQzYWZhdjZwNXdlbWEzOXg2M2lqNzV0MDA=,5oia9b1t3afav6p5wema39x63ij75t00,b64,4
2026-05-19 03:40:36,20.163.103.159,robotstxt,http://example.net/robots.txt,,,0
2026-05-26 13:15:16,20.69.94.247,vmindex9315,https://httpbin.org/base64/dm1pbmRleDkzMTU=,vmindex9315,b64,0
2026-05-28 01:45:09,20.246.119.35,aea81c5aa4ac2f0e0e25c274b165d89dtxt,https://httpbin.org/base64/YWVhODFjNWFhNGFjMmYwZTBlMjVjMjc0YjE2NWQ4OWQ,aea81c5aa4ac2f0e0e25c274b165d89d,b64,1
2026-05-28 01:45:13,130.131.192.110,aea81c5aa4ac2f0e0e25c274b165d89d,https://httpbin.org/base64/YWVhODFjNWFhNGFjMmYwZTBlMjVjMjc0YjE2NWQ4OWQ,aea81c5aa4ac2f0e0e25c274b165d89d,b64,1
2026-05-29 14:07:57,104.45.221.81,85-mo,https://httpbin.org/base64/SGk=,Hi,b64,0
2026-05-29 15:14:18,20.12.224.130,l9amc,https://httpbin.org/base64/SGk=,Hi,b64,0
2026-05-29 15:14:59,20.69.61.24,testnabc8508,https://httpbin.org/base64/PGh0bWw-PGEgaHJlZj0iaHR0cHM6Ly9hcGkuZGF0YWFmcmljYS5pby9hcGkvam9pbi8_Z2VvPTA1MEFGMDAxNTIwMTg4OSZhbXA7c2hvdz1jcm9wJmFtcDtzdW1sZXZlbD1sb3dlc3QmYW1wO3JlcXVpcmVkPWhhcnZlc3RlZF9hcmVhLHZhbHVlX29mX3Byb2R1Y3Rpb24sY3JvcF9wYXJlbnQsY3JvcF9uYW1lIj5EYXRhIHRhYmxlPC9hPjwvaHRtbD4=,"<html><a href=""https://api.dataafrica.io/api/join/?geo=050AF0015201889&amp;show=crop&amp;sumlevel=lowest&amp;required=harvested_area,value_of_production,crop_parent,crop_name"">Data table</a></html>",b64,0
2026-05-29 15:41:09,52.161.35.82,mykeyverify123txt,https://httpbin.org/base64/6d796b6579766572696679313233,mykeyverify123,hex(mislabelled),0
2026-05-29 15:41:10,52.238.195.146,abcdef123,https://httpbin.org/base64/616263646566313233,abcdef123,hex(mislabelled),2
2026-05-29 15:41:12,20.29.102.107,1234567890abcdef1234567890abcdeftxt,https://httpbin.org/base64/3132333435363738393061626364656631323334353637383930616263646566,1234567890abcdef1234567890abcdef,hex(mislabelled),0
2026-05-29 15:46:27,20.97.5.66,bbccddeeff00112233445566778899aa,https://httpbin.org/base64/YmJjY2RkZWVmZjAwMTEyMjMzNDQ1NTY2Nzc4ODk5YWE=,bbccddeeff00112233445566778899aa,b64,8
2026-05-29 16:19:09,20.245.117.125,sample-public-front-pagetxt,https://api.dataafrica.io,,,0
2026-05-30 15:36:08,20.69.60.250,bingvalid1,https://httpbin.org/base64/ZGVhZGJlZWYwMTIzNDU2Nzg5MA,deadbeef01234567890,b64,2
2026-05-30 15:38:21,20.80.3.8,bingvalid2,https://httpbin.org/base64/ZGVhZGJlZWYwMTIzNDU2Nzg5MA==,deadbeef01234567890,b64,1
2026-05-30 19:32:27,172.202.21.121,aug46887txt,https://api.usa.gov/crime/fbi/cde/arrest/agency/AL0040000/all?API_KEY=DEMO_KEY&from=01-2022&to=12-2022&type=counts,,,0
2026-05-30 21:37:38,172.202.41.139,keytestabctxt,https://httpbin.org/base64/abcd,,undecodable,0
2026-05-30 21:37:40,64.236.176.163,keytestabc2etxt,https://httpbin.org/base64/abcd,,undecodable,0
2026-05-30 21:37:41,20.114.155.211,key-testabctxt,https://httpbin.org/base64/abcd,,undecodable,0
2026-05-30 21:37:42,20.168.75.85,indexkeytxt,https://httpbin.org/base64/abcd,,undecodable,0
2026-05-30 21:39:00,20.225.81.31,abcdef0123456789abcdef0123456789,https://httpbin.org/base64/YWJjZGVmMDEyMzQ1Njc4OWFiY2RlZjAxMjM0NTY3ODk=,abcdef0123456789abcdef0123456789,b64,6
2026-05-30 22:37:26,20.110.210.61,indexnowcafebabecafebabe,https://httpbin.org/base64/Y2FmZWJhYmVjYWZlYmFiZQ==,cafebabecafebabe,b64,2
2026-05-30 23:16:49,130.131.23.29,zzzguidfiletxt,https://httpbin.org/base64/dGVzdA==,test,b64,0
2026-05-30 23:16:50,20.96.12.0,zzzguidfile,https://httpbin.org/base64/dGVzdA==,test,b64,0
2026-05-30 23:21:43,20.69.20.70,aeb263b8e57c64cfcbb73ec306f0df23f,https://httpbin.org/base64/QWViMjYzYjhlNTdjNjRjZmNiYjczZWMzMDZmMGRmMjNm,Aeb263b8e57c64cfcbb73ec306f0df23f,b64,5
2026-05-30 23:26:57,40.70.131.156,7faaaaaaaaaaaaaaaaaaaaaaaaaaaaaatxt,https://bing.com,,,0
2026-05-30 23:26:58,52.159.106.93,indexnowkeytoken123,https://bing.com,,,0
2026-05-30 23:26:59,20.225.210.129,abcdefghij,https://bing.com,,,0
2026-06-18 09:19:56,20.9.40.95,secmapkey987654321txt,https://httpbingo.org/base64/c2VjbWFwa2V5OTg3NjU0MzIx?content-type=text/plain,secmapkey987654321,b64,2
2026-06-18 11:42:53,20.69.36.54,httpbincounty,https://httpbin.org/base64/PGh0bWw%2BPGJvZHk%2B,<html><body>,b64,1
2026-06-18 13:03:20,104.42.146.207,agentkey60913f05194e7054txt,https://httpbin.org/base64/YWdlbnRrZXk2MDkxM2YwNTE5NGU3MDU0,agentkey60913f05194e7054,b64,1
