family	n_links	n_ips	first	last	wiki_revs	wiki_pages	aliases
Data Africa — Malawi chickpeas 2005	2677	2288	2026-05-27	2026-06-21	7	1	-03lj, -0nzc, -107n, -2-2d, -38ap, -4b-y
Data Africa — Mozambique rainfed crops	470	458	2026-05-29	2026-06-17	50	12	-0nzc, -2-2d, -8fni, -95h3, -ea05, -mnd5
Data Africa — DHS child nutrition (RW/TZ/GH)	413	406	2026-05-27	2026-06-21	1	1	-38ap, -ccrn, 4a-ml, 56w-z, 5mf9-, 7-60b
FBI CDE crime (api.usa.gov + cde.ucr.cjis.gov)	354	351	2026-05-12	2026-07-21	0	0	-b8xr, -zo1d, 15600941, 2-fd-, 4z-ox, 6-ygo
World Poverty Clock GraphQL	118	117	2026-05-27	2026-07-10	9	5	agentpoverty2018xyz, agentpoverty2020xyz, agtest00999, agtestq, agtestzz32, agtryz123
Data for India chart JSON	13	13	2026-06-21	2026-06-21	0	0	maaadir, maaproxy, malagent0x, malagent1x, malagent2x, malagent3x
UNM Valmora digital collection	40	40	2026-05-26	2026-05-26	0	0	board19290, board19291, board19292, i8-2a, iyg1y-, iyg1y20
Railroad Magazine / eBay listing	50	50	2026-05-27	2026-06-18	0	0	-lnzq, abcdezz12, agenttestfresh99, agtr86050, blablalink58493, dataafricamoz
MapGenie Palworld map API	14	14	2026-06-17	2026-06-17	1	1	-8-rz, mapx10891, mapx41774, mapx70755, newcacheabc, newrefxyz
HowLongToBeat game 6646	12	12	2026-05-19	2026-05-19	0	0	createvs81z, createx, w-8a2
Hockey-Reference NSH 2023	7	7	2026-06-17	2026-06-17	25	2	agentnsh234216
technicalowl NBA shot chart	3	3	2026-06-20	2026-06-20	0	0	k-tlf
UK census TS030 (ONS + NOMIS)	5	5	2026-05-26	2026-05-26	0	0	ag0vbark731733, agvtest793849, onsbanw5zz77, ts030muslimbanburyx, zoffpcte14001072
Airtable public view CSV	6	6	2026-05-26	2026-05-26	0	0	ag0csv260760, snd43mx992, snd43vandcsv, snd43vandview, sndmdv97770, snewmd594467247
OEC trade proxy	1	1	2026-05-20	2026-05-20	0	0	c3a-z
World Bank / Datawheel probes	4	4	2026-05-29	2026-05-29	0	0	e5827835, mwtst3q
NAEP Nation's Report Card	2	2	2026-06-12	2026-06-12	0	0	nrcnaepres9983
martingauer.com GB emulator ROM	9	9	2026-06-20	2026-06-20	0	0	martinromhint9988
Climbing prices via Wayback	10	10	2026-05-24	2026-05-26	0	0	archagent1, archagent2, archagent3, archagent4, dapureag8351, dapureag8352
Cosmos Magazine dinosaurs (Wayback)	14	14	2026-05-24	2026-05-25	0	0	analytics, ind681095, indss22177133, indss42003578, indss64046308, indtt22367128
NY Post Voynich manuscript	4	4	2026-06-17	2026-06-17	0	0	abtestxxyy
SEC RegCF county.json	515	500	2026-06-17	2026-06-18	4961	1229	-k4ue, -w-ma, 00agent, 00getattach, 00getfoo, 00rawfoo
