capture_ts,captured_url,status,page_id
20260509224805,https://prowiki.org/prowiki/wiki.cgi?VideoBridge,200,VideoBridge
20260510225811,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202510,200,CdmlKalender/202510
20260510225950,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202603,200,CdmlKalender/202603
20260510230053,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/200602,200,CdmlKalender/200602
20260510230852,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202602,200,CdmlKalender/202602
20260510231041,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/200601,200,CdmlKalender/200601
20260510231359,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202601,200,CdmlKalender/202601
20260511002441,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202606,200,CdmlKalender/202606
20260511003345,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202512,200,CdmlKalender/202512
20260511003443,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202605,200,CdmlKalender/202605
20260511005522,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202511,200,CdmlKalender/202511
20260511005638,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/202604,200,CdmlKalender/202604
20260511005648,https://www.wikiservice.at/support/wiki.cgi?CdmlKalender/200603,200,CdmlKalender/200603
20260511023450,https://wikiservice.at/fractal/wiki.cgi?action=multilink&id=FR/LesOiesSauvages/UbiWorld2007&link=OlivierZablocki,200,FR/LesOiesSauvages/UbiWorld2007
20260511024907,https://wikiservice.at/dse/wiki.cgi?action=editprefs&lang=1&oldid=MarkusRechberger/USB/em2820&id=MarkusRechberger/USB/em2820,200,MarkusRechberger/USB/em2820
20260511025255,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322&section=5,200,FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322
20260511031130,https://wikiservice.at/support/wiki.cgi?CdmlKalender/202503,200,CdmlKalender/202503
20260511031435,https://wikiservice.at/gruender/wiki.cgi?action=edit&id=Forum/Archiv2006&section=7,200,Forum/Archiv2006
20260511084014,https://wikiservice.at/gruender/wiki.cgi?action=multilink&id=Forum/Archiv2006&link=Zukunftsforschung,200,Forum/Archiv2006
20260511145756,https://prowiki.org/prowiki/wiki.cgi?CdmlCalendar/202703,200,CdmlCalendar/202703
20260511150329,https://prowiki.org/prowiki/wiki.cgi?CdmlCalendar/202504,200,CdmlCalendar/202504
20260511153652,https://prowiki.org/prowiki/wiki.cgi?CdmlCalendar/202506,200,CdmlCalendar/202506
20260511155344,https://prowiki.org/prowiki/wiki.cgi?CdmlCalendar/202507,200,CdmlCalendar/202507
20260512054634,https://wikiservice.at/support/wiki.cgi?CdmlKalender/200411,200,CdmlKalender/200411
20260512055024,https://wikiservice.at/fractal/wiki.cgi?action=editprefs&lang=2&oldid=FR/CdmlCalendar/202602&id=FR/CdmlCalendar/202602,200,FR/CdmlCalendar/202602
20260512062643,https://wikiservice.at/fractal/wiki.cgi?action=multilink&id=FR/PinkoMarketing/ExploraCoeurEn/ExploraCoeurApero20090325&link=OlivierAuber,200,FR/PinkoMarketing/ExploraCoeurEn/ExploraCoeurApero20090325
20260512063958,https://wikiservice.at/gruender/wiki.cgi?action=edit&id=Forum/Archiv2006&section=4,200,Forum/Archiv2006
20260512064540,https://wikiservice.at/dse/wiki.cgi?action=editprefs&lang=1&oldid=TestSeite/200507&id=TestSeite/200507,200,TestSeite/200507
20260512180932,https://prowiki.org/fractal/wiki.cgi?action=edit&id=FR/BarCamp/BarCampBank/ForumArchives/Janvier2007&section=6,200,FR/BarCamp/BarCampBank/ForumArchives/Janvier2007
20260512183542,https://prowiki.org/fractal/wiki.cgi?FR/BarCamp/BarCampParisCalendrier/200608,200,FR/BarCamp/BarCampParisCalendrier/200608
20260514162513,https://prowiki.org/fractal/wiki.cgi?action=edit&id=FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322&section=8,200,FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322
20260514163111,https://prowiki.org/dse/wiki.cgi?CharacterCode0166,200,CharacterCode0166
