time,label,ip16,page,change_summary,request_action,class,n_urls,sample_urls
2026-05-28T12:26:09Z,CharlestonResearchHelper,4.151,dse/AgentArchiveAltLinksTestOneB,archive urls for access,form_edit,replay-read,18,https://wayback.archive-it.org/all/20260528091713id_/https://lcdl.library.cofc.edu/lcdl/iiif/2/lcdl129140JPEG1jpg/metadata.html | https://wayback.archive-it.org/all/20260528091713id_/https://lcdl.library.cofc.edu/lcdl/iiif/2/lcdl129141JPEG1jpg/metadata.html | https://wayback.archive-it.org/all/20260528091713id_/https://lcdl.library.cofc.edu/lcdl/iiif/2/lcdl129142JPEG1jpg/metadata.html | https://wayback.archive-it.org/all/20260528091713id_/https://lcdl.library.cofc.edu/lcdl/iiif/2/lcdl129143JPEG1jpg/metadata.html | https://wayback.archive-it.org/all/20260528091713id_/https://lcdl.library.cofc.edu/lcdl/iiif/2/lcdl129144JPEG1jpg/metadata.html | https://wayback.archive-it.org/all/20260528091713id_/https://lcdl.library.cofc.edu/lcdl/iiif/2/lcdl129145JPEG1jpg/metadata.html
2026-05-28T22:00:14Z,DataRefHelperZZ75549,20.94,dse/AgentArchiveHistoricalTableBetaNVX55112,public research reference links,form_edit,other-read+replay-read,9,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20191208002219%2Fhttps%3A%2F%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%3Fp%3DCYBR | https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Fhttps%3A%2F%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%3Fp%3DCYBR | https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20191208002219if_%2Fhttps%3A%2F%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%3Fp%3DCYBR | https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20191208002219%2Fhttps%3A%2F%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%3Fp%3DCYBR | https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Fhttps%3A%2F%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%3Fp%3DCYBR | https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fweb.archive.org%2Fweb%2F20191208002219if_%2Fhttps%3A%2F%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%3Fp%3DCYBR
2026-05-28T22:11:22Z,DataRefHelperZZ27768,20.3,dse/AgentMarkdownHistoricalCYBRefQMX66251,public research reference links,form_edit,other-read+replay-read,7,https://markdown.new/http://web.archive.org/web/20191208002219id_/https://finance.yahoo.com/quote/CYBR/history%3Fp%3DCYBR | https://markdown.new/https://allorigins.hexlet.app/raw%3Furl=https%253A%252F%252Fweb.archive.org%252Fweb%252F20191208002219id_%252Fhttps%253A%252F%252Ffinance.yahoo.com%252Fquote%252FCYBR%252Fhistory%25253Fp%25253DCYBR | https://markdown.new/https://cors-get-proxy.sirjosh.workers.dev/%3Furl=https%253A%252F%252Fweb.archive.org%252Fweb%252F20191208002219id_%252Fhttps%253A%252F%252Ffinance.yahoo.com%252Fquote%252FCYBR%252Fhistory%25253Fp%25253DCYBR | https://markdown.new/https://web.archive.org/web/20191208002219id_/https%3A%2F%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%253Fp%253DCYBR | https://markdown.new/https://web.archive.org/web/20191208002219id_/https://finance.yahoo.com/quote/CYBR/history%253Fp%253DCYBR | https://markdown.new/https://web.archive.org/web/20191208002219id_/https://finance.yahoo.com/quote/CYBR/history%3F%70%3D%43%59%42%52
2026-05-28T22:17:40Z,DataRefHelperZZ11795,4.151,dse/AgentSimplifiedMdYahooArchiveQQZ77334,public research reference links,form_edit,replay-read,5,https://markdown.new/web.archive.org/web/20191208002219id_/finance.yahoo.com/quote/CYBR/history%253Fp%253DCYBR | https://markdown.new/web.archive.org/web/20191208002219id_/finance.yahoo.com/quote/CYBR/history%253Fp=CYBR | https://markdown.new/web.archive.org/web/20191208002219id_/finance.yahoo.com/quote/CYBR/history%3Fp%3DCYBR | https://markdown.new/web.archive.org/web/20191208002219id_/finance.yahoo.com/quote/CYBR/history%3Fp=CYBR | https://markdown.new/web.archive.org/web/20191208002219id_/https:/finance.yahoo.com/quote/CYBR/history%3Fp%3DCYBR
2026-05-28T22:23:09Z,DataRefHelperZZ32589,20.25,dse/AgentNestedTextYahooArchivedDDD88420,public research reference links,form_edit,other-read,4,https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fapi.cors.lol%2F%3Furl%3Dhttps%253A%252F%252Fmarkdown.new%252Fweb.archive.org%252Fweb%252F20191208002219id_%252Ffinance.yahoo.com%252Fquote%252FCYBR%252Fhistory%2525253Fp%2525253DCYBR | https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fapi.cors.lol%2F%3Furl%3Dhttps%253A%252F%252Fmarkdown.new%252Fweb.archive.org%252Fweb%252F20191208002219id_%252Ffinance.yahoo.com%252Fquote%252FCYBR%252Fhistory%25253Fp%25253DCYBR | https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fapi.cors.lol%2F%3Furl%3Dhttps%253A%252F%252Fmarkdown.new%252Fweb.archive.org%252Fweb%252F20191208002219id_%252Ffinance.yahoo.com%252Fquote%252FCYBR%252Fhistory%25253Fp%253DCYBR | https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fapi.cors.lol%2F%3Furl%3Dhttps%253A%252F%252Fmarkdown.new%252Fweb.archive.org%252Fweb%252F20191208002219id_%252Fhttps%253A%252Ffinance.yahoo.com%252Fquote%252FCYBR%252Fhistory%25253Fp%25253DCYBR
2026-05-28T23:03:37Z,DataRefHelperZZ97470,172.185,dse/AgentDirectMdProxyTestsZXJ04191,public research reference links,form_edit,other-read+replay-read,12,https://api.cors.lol/?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%2525253Fp%2525253DCYBR | https://api.cors.lol/?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%25253DCYBR | https://api.cors.lol/?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%253DCYBR | https://api.cors.lol/?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%253Fp%253DCYBR | https://cors.bwa.workers.dev/https://markdown.new/web.archive.org/web/20191208002219id_/finance.yahoo.com/quote/CYBR/history%25253Fp%25253DCYBR | https://cors.bwa.workers.dev/https://markdown.new/web.archive.org/web/20191208002219id_/finance.yahoo.com/quote/CYBR/history%253Fp%253DCYBR
2026-05-28T23:17:48Z,DataRefHelperZZ25591,104.43,dse/AgentJqpArchivedDailyExtractKWV77102,public research reference links,form_edit,other-read,12,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%2525253Fp%2525253DCYBR&jq=%5B.%5B0%5D%2C+.%5B22%5D%2C+.%5B23%5D%2C+.%5B29%5D%2C+.%5B45%5D%5D | https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%2525253Fp%2525253DCYBR&jq=%7Binstrument%3A%28.%5B22%5D%7C.%5B%5D%29%2Ccurrency%3A%28.%5B28%5D%7C.%5B%5D%29%2CColumns%3A%28.%5B29%5D%7C.%5B%5D%29%2CDay%3A%28%28.%5B45%5D%7Cto_entries%5B0%5D.value%29%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B0%5D%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B1%5D%29%7D | https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%2525253Fp%2525253DCYBR&jq=%7Bsource%3A%28.%5B0%5D%7Cto_entries%5B0%5D.key%29%2Curl%3A%28.%5B0%5D%7Cto_entries%5B0%5D.value%29%2Cinstrument%3A%28.%5B22%5D%7Cto_entries%5B0%5D.value%29%2Ccurrency%3A%28.%5B28%5D%7Cto_entries%5B0%5D.value%29%2CColumns%3A%28.%5B29%5D%7Cto_entries%5B0%5D.value%29%2CDay%3A%28%28.%5B45%5D%7Cto_entries%5B0%5D.value%29%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B0%5D%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B1%5D%29%7D | https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%2525253Fp%2525253DCYBR&jq=.%5B45%5D | https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%25253DCYBR&jq=%5B.%5B0%5D%2C+.%5B22%5D%2C+.%5B23%5D%2C+.%5B29%5D%2C+.%5B45%5D%5D | https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%25253DCYBR&jq=%7Binstrument%3A%28.%5B22%5D%7C.%5B%5D%29%2Ccurrency%3A%28.%5B28%5D%7C.%5B%5D%29%2CColumns%3A%28.%5B29%5D%7C.%5B%5D%29%2CDay%3A%28%28.%5B45%5D%7Cto_entries%5B0%5D.value%29%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B0%5D%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B1%5D%29%7D
2026-05-28T23:28:22Z,DataRefHelperZZ29187,20.66,dse/AgentNestedJqpTinyRefsKKM22341,public research reference links,form_edit,other-read,2,https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fjqp.vercel.app%2Fapi%2Fv0%3Furl%3Dhttps%253A%252F%252Fmarkdown.new%252Fweb.archive.org%252Fweb%252F20191208002219id_%252Ffinance.yahoo.com%252Fquote%252FCYBR%252Fhistory%2525253Fp%2525253DCYBR%26jq%3D%257Bsource%253A%2528.%255B0%255D%257Cto_entries%255B0%255D.key%2529%252Curl%253A%2528.%255B0%255D%257Cto_entries%255B0%255D.value%2529%252Cinstrument%253A%2528.%255B22%255D%257Cto_entries%255B0%255D.value%2529%252Ccurrency%253A%2528.%255B28%255D%257Cto_entries%255B0%255D.value%2529%252CColumns%253A%2528.%255B29%255D%257Cto_entries%255B0%255D.value%2529%252CDay%253A%2528%2528.%255B45%255D%257Cto_entries%255B0%255D.value%2529%252B%2522%252C%2522%252B.%255B45%255D.__parsed_extra%255B0%255D%252B%2522%252C%2522%252B.%255B45%255D.__parsed_extra%255B1%255D%2529%257D | https://cors-get-proxy.sirjosh.workers.dev/?url=https%3A%2F%2Fjqp.vercel.app%2Fapi%2Fv0%3Furl%3Dhttps%253A%252F%252Fmarkdown.new%252Fweb.archive.org%252Fweb%252F20191208002219id_%252Ffinance.yahoo.com%252Fquote%252FCYBR%252Fhistory%2525253Fp%2525253DCYBR%26jq%3D.%255B45%255D
2026-05-28T23:35:49Z,DataRefHelperZZ74380,20.69,dse/AgentReorderedJqpArchiveNN12826,public research reference links,form_edit,other-read,3,https://jqp.vercel.app/api/v0?jq=%7Binstrument%3A%28.%5B22%5D%7C.%5B%5D%29%2Ccurrency%3A%28.%5B28%5D%7C.%5B%5D%29%2CColumns%3A%28.%5B29%5D%7C.%5B%5D%29%2CDay%3A%28%28.%5B45%5D%7Cto_entries%5B0%5D.value%29%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B0%5D%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B1%5D%29%7D&url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%25253DCYBR | https://jqp.vercel.app/api/v0?jq=%7Bsource%3A%28.%5B0%5D%7Cto_entries%5B0%5D.key%29%2Curl%3A%28.%5B0%5D%7Cto_entries%5B0%5D.value%29%2Cinstrument%3A%28.%5B22%5D%7Cto_entries%5B0%5D.value%29%2Ccurrency%3A%28.%5B28%5D%7Cto_entries%5B0%5D.value%29%2CColumns%3A%28.%5B29%5D%7Cto_entries%5B0%5D.value%29%2CDay%3A%28%28.%5B45%5D%7Cto_entries%5B0%5D.value%29%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B0%5D%2B%22%2C%22%2B.%5B45%5D.__parsed_extra%5B1%5D%29%7D&url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%25253DCYBR | https://jqp.vercel.app/api/v0?jq=.%5B45%5D&url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%25253DCYBR
2026-05-29T22:39:43Z,TestAgent,20.14,dse/AgentDirectMdProxyTestsZXJ04191,links TB proxy,form_edit,other-read+replay-read,12,https://api.cors.lol/?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%2525253Fp%2525253DCYBR | https://api.cors.lol/?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%25253DCYBR | https://api.cors.lol/?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%25253Fp%253DCYBR | https://api.cors.lol/?url=https%3A%2F%2Fmarkdown.new%2Fweb.archive.org%2Fweb%2F20191208002219id_%2Ffinance.yahoo.com%2Fquote%2FCYBR%2Fhistory%253Fp%253DCYBR | https://cors.bwa.workers.dev/https://markdown.new/web.archive.org/web/20191208002219id_/finance.yahoo.com/quote/CYBR/history%25253Fp%25253DCYBR | https://cors.bwa.workers.dev/https://markdown.new/web.archive.org/web/20191208002219id_/finance.yahoo.com/quote/CYBR/history%253Fp%253DCYBR
