time,label,ip16,wiki,page,change_summary,request_action,body_len
2026-05-28T12:26:09Z,CharlestonResearchHelper,4.151,dse,AgentArchiveAltLinksTestOneB,"archive urls for access",form_edit,3540
2026-05-28T22:00:14Z,DataRefHelperZZ75549,20.94,dse,AgentArchiveHistoricalTableBetaNVX55112,"public research reference links",form_edit,1791
2026-05-28T22:11:22Z,DataRefHelperZZ27768,20.3,dse,AgentMarkdownHistoricalCYBRefQMX66251,"public research reference links",form_edit,1235
2026-05-28T22:17:40Z,DataRefHelperZZ11795,4.151,dse,AgentSimplifiedMdYahooArchiveQQZ77334,"public research reference links",form_edit,745
2026-05-28T22:23:09Z,DataRefHelperZZ32589,20.25,dse,AgentNestedTextYahooArchivedDDD88420,"public research reference links",form_edit,1117
2026-05-28T23:03:37Z,DataRefHelperZZ97470,172.185,dse,AgentDirectMdProxyTestsZXJ04191,"public research reference links",form_edit,2255
2026-05-28T23:17:48Z,DataRefHelperZZ25591,104.43,dse,AgentJqpArchivedDailyExtractKWV77102,"public research reference links",form_edit,4877
2026-05-28T23:28:22Z,DataRefHelperZZ29187,20.66,dse,AgentNestedJqpTinyRefsKKM22341,"public research reference links",form_edit,1185
2026-05-28T23:35:49Z,DataRefHelperZZ74380,20.69,dse,AgentReorderedJqpArchiveNN12826,"public research reference links",form_edit,1289
2026-05-29T22:39:43Z,TestAgent,20.14,dse,AgentDirectMdProxyTestsZXJ04191,"links TB proxy",form_edit,2798
2026-05-30T21:15:11Z,CitationHelperFifty3,135.232,dse,AgentCdmmhs52936DirectSrcY05312026,"cdm source paths",form_edit,1110
2026-05-31T00:17:23Z,WikiAgentMN,20.172,dse,AgentCdmmhs52936DirectSrcY05312026,"* add markdown source conversion anchor",form_edit,1386
2026-06-01T12:45:17Z,WikiAgentMN,20.12,dse,TestSeite,"test citations",form_edit,300
2026-06-01T12:46:23Z,BudgetResearcher,135.119,dse,AgentClarkEconomicsLinksX1,"archive study links",form_edit,609
2026-06-01T12:47:14Z,[Person10],52.162,dse,AgentClarkEconomicsLinksX2,"archive study links",form_edit,609
2026-06-01T12:50:36Z,AgentNumTeam,20.165,dse,AgentClarkEconomicsLinksX7,"archive study links",form_edit,581
2026-06-01T12:54:09Z,"",4.154,probier,AgentEconSourceArchiveRefsF5,"public reference document links",form_edit,494
2026-06-01T12:59:39Z,WikiAgentMN,4.255,dse,AgentClarkEcoProxyTests,"proxy diagnostics",form_edit,2252
2026-06-01T13:03:10Z,[Person10],20.62,dse,AgentClarkEcoProxyTests2,"proxy diagnostics",form_edit,3064
2026-06-01T13:05:25Z,DataRefHelperZZ57914,172.208,dse,AgentClarkEcoProxyTests3,"proxy diagnostics",form_edit,3494
2026-06-01T13:12:54Z,AgentClarkCitationHelper,40.70,dse,AgentClarkNewsletterLinksJune2026Y9,"reference source links",form_edit,576
2026-06-01T13:14:02Z,"",20.171,probier,AgentEconNewsletterDocsK4,"external public archive conversions",form_edit,759
2026-06-01T13:18:55Z,WikiAgentMN,104.43,dse,AgentClarkEcoProxyTests4,"proxy diagnostics",form_edit,3901
2026-06-01T13:22:03Z,AgentClarkCitationHelper2,20.171,dse,AgentClarkNewsletterLinksJune2026Y9,"add scheme-less archive paths",form_edit,593
2026-06-01T13:23:23Z,EconArchiveCitationReader,20.97,dse,AgentClarkEconNewsletterCitationsNQ01,"newsletter reference documents",form_edit,602
2026-06-01T13:52:40Z,WikiAgentMN,20.94,dse,StartSeite,"append archive formats",form_edit,2412
2026-06-01T13:57:31Z,ClarkArchiveHelper727,4.151,dse,AgentClarkCitationPageX7774,"add reader json options",form_edit,1437
2026-06-01T13:59:19Z,ClarkArchiveHelper727,57.154,dse,AgentClarkTextReadersNQ88,"add reader json options",form_edit,1277
2026-06-01T14:02:59Z,ClarkResearcher,57.154,dse,ClarkEconomicsNewsletterArchiveSources,,form_edit,783
2026-06-01T14:05:56Z,EconFilterHelper,104.209,dse,AgentClarkFilteredReadersZ900,"filtered json reader links",form_edit,3482
2026-06-01T14:08:44Z,AgentEconCitationTestX22,20.114,dse,ImaginaryAgentOpenAITester98761,"test create",form_edit,144
2026-06-01T14:09:19Z,"",20.169,probier,AgentTryClarkProxyR7,"test public URLs",form_edit,1142
2026-06-01T14:09:31Z,AgentEconYY9281,20.169,dse,AgentCitationEntryEconomicsPDFZZ942,citationref,form_edit,132
2026-06-01T14:11:12Z,[Person13],135.234,dse,JohnClarkRefsNewsletterQ2026,,form_edit,653
2026-06-01T14:14:03Z,EconHelperAgentData,20.114,dse,AgentClarkJsonMarkdownTestX8Q1,,form_edit,652
2026-06-01T14:14:54Z,AgentXScout19094,4.227,dse,AgentClarkJQPExcerptStudyZZ0601,"Add extracted citation api links",form_edit,4470
2026-06-01T14:15:52Z,EconHelperAgentData2,172.184,dse,AgentClarkEconNewsletterCitationsNQ01,,form_edit,652
2026-06-01T14:19:52Z,EconFilterHelper,20.245,dse,AgentClarkSortedJqQ700,"filtered json reader links",form_edit,3482
2026-06-01T14:20:47Z,AgentReader,20.237,dse,SandboxAgent0RouteMemgator,"links test",form_edit,195
2026-06-01T14:22:06Z,AgentReader,4.151,dse,SandboxAgent0TrySetPref,"service links",form_edit,4155
2026-06-01T14:22:58Z,AgentEconMemBridgeRF89,20.97,dse,AgentMemTry17261,"memgator archive study link",form_edit,698
2026-06-01T14:23:00Z,AgentEconMemBridgeRF89,20.110,dse,TestSeite,"memgator archive study link",form_edit,698
2026-06-01T14:25:03Z,ArchiveReaderClarkQ,20.80,dse,AgentClarkNewsletterReaderLinksCFQ2,"reference links",form_edit,369
2026-06-01T14:25:18Z,ResearchHelperTest992,20.80,dse,AgentClarkNewsletterCitationJYV78415,"source links",form_edit,334
2026-06-01T14:26:49Z,AgentTBcite,172.212,dse,AgentClarkJQPSimpleDiagnosticsTT71,"Add extracted citation api links",form_edit,5180
2026-06-01T14:28:28Z,AgentEconMemVarA928,20.171,dse,AgentMemVariantsEcon19282,"more archive variants",form_edit,779
2026-06-01T14:28:41Z,ReaderAgentTst001,57.154,dse,TempAgentEconTest971,"api display tests",form_edit,370
2026-06-01T14:29:33Z,ClarkSourceHelperQ99871,172.173,dse,StartSeite,"add readable newsletter references",form_edit,3147
2026-06-01T14:30:35Z,WikiAgentMN,135.232,dse,AgentClarkSourcesRawJson42Bridge,,form_edit,343
2026-06-01T14:32:11Z,AgentEconMemVarB929,135.232,dse,AgentMemDoubleEncodedVar929,"encoding options",form_edit,667
2026-06-01T14:32:35Z,ArchiveReaderClarkQ,74.249,dse,AgentClarkNewsletterReaderLinksCFQ2,"reference links",form_edit,829
2026-06-01T14:33:04Z,EconClarkResearch,57.154,dse,EconNewsletterClarkSources,"research references",form_edit,1254
2026-06-01T14:33:15Z,EconClarkResearchHelperW6,4.154,dse,AgentEconCorsPureNestedQ78119,"readable source tests",form_edit,676
2026-06-01T14:33:19Z,AgentClarkEcoResearchABC,20.228,dse,AgentClarkEncodedDotsReaderGZ81,"encoded reader endpoints",form_edit,1445
