alias,timestamp,ip,clicks,title,url
-75y5,2026-05-19 03:31:22,20.225.66.200,0,http://example.com,http://example.com
foaf,2026-05-24 21:44:45,20.168.37.186,0,https://pure.md/example.com,https://pure.md/example.com
-abbv,2026-05-26 06:03:34,20.109.177.177,0,Example Domain,https://example.org/x0.06772260072663372
iy1y,2026-05-26 13:05:15,135.232.192.118,0,https://nmdc.unm.edu/digital/api/singleitem/collection/valmora/id/136?v=iyğ1y,https://nmdc.unm.edu/digital/api/singleitem/collection/valmora/id/136?v=iyğ1y
1gtt1,2026-05-26 14:02:46,20.165.155.227,0,https://example.com/test123,https://example.com/test123
0i6ta,2026-05-26 14:03:03,20.165.181.65,0,http://nmdigital.unm.edu/digital/api/collection/valmora/id/136/download,http://nmdigital.unm.edu/digital/api/collection/valmora/id/136/download
trya,2026-05-27 07:16:21,64.236.170.29,0,https://example.com/ag007,https://example.com/ag007
-lnzq,2026-05-27 11:58:01,20.110.148.143,0,Railroad Magazine 1970 June Milwaukee Electrification Erie Mallets – RailroadTreasures,https://railroadtreasures.com/products/railroad-magazine-1970-june-milwaukee-electrification-erie-mallets
1a-mo,2026-05-28 10:19:03,4.151.154.237,0,Example Domain,https://example.org/v1779981541.0693228
25lmm,2026-05-28 16:40:26,20.225.82.50,0,Example Domain,https://example.org/target
1us5i,2026-05-29 10:56:24,20.172.11.74,0,"https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=value_of_production,harvested_area","https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=value_of_production,harvested_area"
-rc88,2026-05-29 13:55:07,20.25.211.55,0,https://api.dataafrica.io,https://api.dataafrica.io
20f23,2026-05-29 13:56:12,74.249.160.218,0,https://example.com,https://example.com
0cy1u,2026-05-29 13:57:06,20.45.43.6,0,https://api.dataafrica.io/attrs/geo/,https://api.dataafrica.io/attrs/geo/
1wdhz,2026-05-29 13:58:02,52.160.144.213,0,"https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=value_of_production,crop_name&year=2005","https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=value_of_production,crop_name&year=2005"
1gvdm,2026-05-29 13:58:36,20.94.90.111,0,Example Domain,https://example.org
0d1as,2026-05-29 13:59:07,65.52.4.236,0,https://api.dataafrica.io,https://api.dataafrica.io
-ymh-,2026-05-29 13:59:58,20.98.95.43,0,http://https%3a%2f%2fapi.dataafrica.io,http://https%3a%2f%2fapi.dataafrica.io
05yvi,2026-05-29 14:00:05,20.171.112.176,0,http://api.dataafrica.io,http://api.dataafrica.io
-uktb,2026-05-29 14:03:45,52.165.253.157,0,https://api.dataafrica.io,https://api.dataafrica.io
0eoyk,2026-05-29 14:06:21,20.165.227.244,0,https://api.dataafrica.io/api/production_value,https://api.dataafrica.io/api/production_value
1istd,2026-05-29 14:10:32,20.69.36.126,0,https://bitily.in/abc,https://bitily.in/abc
1qbgt,2026-05-29 14:14:41,20.165.229.79,0,DA,https://api.dataafrica.io/api/join/?geo=050AF0015201889%26show=crop
-lbeg,2026-05-29 14:17:05,20.97.121.53,0,DataAfMalChic,https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&required=value_of_production
2aozx,2026-05-29 14:51:38,23.100.33.113,0,Example Domain,https://example.org
0ald9,2026-05-29 14:53:00,20.245.160.49,0,http://api.dataafrica.io/api/join/,http://api.dataafrica.io/api/join/
-bk07,2026-05-29 14:53:07,20.29.85.64,0,https://api.dataafrica.io,https://api.dataafrica.io
1s5jb,2026-05-29 14:54:55,157.55.176.205,0,https://api.dataafrica.io/api/join/?geo=050AF0015201889,https://api.dataafrica.io/api/join/?geo=050AF0015201889
0n86-,2026-05-29 14:55:05,23.100.33.113,0,https://api.dataafrica.io/api/join/?geo=050AF0015201889,https://api.dataafrica.io/api/join/?geo=050AF0015201889
-107n,2026-05-29 14:55:49,20.98.209.168,0,https://api.dataafrica.io/api/?x=1,https://api.dataafrica.io/api/?x=1
-xw92,2026-05-29 14:56:00,20.112.0.204,0,Example Domain,https://example.org/new413
26rx9,2026-05-29 14:58:56,20.237.189.118,0,https://api.dataafrica.io,https://api.dataafrica.io
0fyts,2026-05-29 14:58:58,20.165.231.20,0,https://api.dataafrica.io,https://api.dataafrica.io
1qahc,2026-05-29 14:59:03,20.80.185.59,0,Google,https://google.com
1706u,2026-05-29 14:59:04,20.171.80.112,0,https://dataafrica.io/profile,https://dataafrica.io/profile
1vb30,2026-05-29 14:59:17,20.165.222.202,0,https://dataafrica.io/profile/southern-region-mwi,https://dataafrica.io/profile/southern-region-mwi
0k99p,2026-05-29 15:00:09,4.255.214.120,0,https://api.dataafrica.io/api/join/?show=geo,https://api.dataafrica.io/api/join/?show=geo
-eqxs,2026-05-29 15:01:22,4.255.213.51,0,x,https://api.dataafrica.io/api/join/?show=geo&sumlevel=adm0&required=rainfall_awa_mm
1dzn4,2026-05-29 15:04:46,20.230.88.64,0,foo.com,https://foo.com
1dul2,2026-05-29 15:05:27,20.25.250.6,0,https://api.dataafrica.io/api/join/?show=geo,https://api.dataafrica.io/api/join/?show=geo
1ot0p,2026-05-29 15:06:19,20.80.46.93,0,https://example.com,https://example.com
-rkcu,2026-05-29 15:06:24,20.9.196.171,0,https://api.dataafrica.io,https://api.dataafrica.io
07une,2026-05-29 15:06:28,83.222.9.53,0,Example Domain,https://example.org/testabc
1mct9,2026-05-29 15:06:30,172.184.125.210,0,https://dataafrica.io,https://dataafrica.io
nono,2026-05-29 15:06:49,64.236.249.43,0,Xx,https://api.dataafrica.io/api/join/?show=geo
zz,2026-05-29 15:07:42,40.65.92.113,0,https://api.dataafrica.io/api/join/?geo=050AF0015201890%26show=crop%26sumlevel=lowest%26required=value_of_production,https://api.dataafrica.io/api/join/?geo=050AF0015201890%26show=crop%26sumlevel=lowest%26required=value_of_production
0t6cj,2026-05-29 15:08:22,20.97.58.46,0,http://dataafrica.io,http://dataafrica.io
1a61-,2026-05-29 15:08:29,20.245.31.2,0,https://api.dataafrica.io/api/join/?show=geo,https://api.dataafrica.io/api/join/?show=geo
0oy19,2026-05-29 15:15:31,20.9.46.119,0,https://api.dataafrica.io/api/join?show=geo,https://api.dataafrica.io/api/join?show=geo
0u1k1,2026-05-29 15:16:03,172.202.41.55,0,http://api.dataafrica.io/api/join/?geo=040AF00155,http://api.dataafrica.io/api/join/?geo=040AF00155
-13h2,2026-05-29 15:18:54,130.131.120.40,0,Example Domain,https://example.org/zxcvb126
-fhw0,2026-05-29 15:21:47,172.212.181.178,0,https://example.com/foo,https://example.com/foo
-m1fl,2026-05-29 15:24:36,172.202.22.196,0,Example Domain,https://example.org
017wt,2026-05-29 15:26:23,20.98.67.11,0,"https://api.dataafrica.io/api/join/?geo=050AF0015201890&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name&order=value_of_production&sort=desc","https://api.dataafrica.io/api/join/?geo=050AF0015201890&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name&order=value_of_production&sort=desc"
1xt-3,2026-05-29 15:29:01,20.168.35.134,0,Example Domain,https://example.org/test0.14441891612093183
19ctu,2026-05-29 15:29:57,20.94.248.158,0,malc89,"https://api.dataafrica.io/api/join/?geo=050AF0015201889&show=crop&sumlevel=lowest&required=harvested_area,value_of_production,crop_parent,crop_name&order=value_of_production&sort=desc"
